,spx_close,spx_50dma,spx_above_50dma,vix,turbulence,warning_threshold,extreme_threshold,regime,divergence,days_elevated,vix_override,hyg_ief_ratio,hyg_ief_slope,contagion,dispersion,dispersion_pctile,turbulence_rolling,desensitisation_gap
2022-02-08,526.4012081636274,507.43230613866916,True,20.516990908772904,6.383831459387312,,,,False,0.0,False,0.6182184849004717,0.0004051023094719818,False,0.005137516735632616,15.019762845849801,6.808693547489204,-0.4248620881018921
2022-02-09,532.6956955806451,508.20190193759527,True,19.734346602841224,8.392425979757116,,,,False,0.0,False,0.6237847964597344,0.0005182994631180696,False,0.008801370505726564,74.40944881889764,9.35666960021215,-0.9642436204550346
2022-02-10,533.94491374325,509.06655912585074,True,19.077973303145075,14.974200934173721,,,,False,0.0,False,0.6286837567709814,0.0007905368732835437,False,0.008166851567338693,63.921568627450974,21.087704683013992,-6.113503748840271
2022-02-11,531.1354604089112,509.89555456884744,True,19.046999911347157,7.748464080235379,,,,False,0.0,False,0.6307196861515115,0.001058765532848644,False,0.005270314095753845,16.015625,9.374116556630316,-1.6256524763949374
2022-02-14,536.2643737510916,510.6800536742576,True,18.445675404891794,6.322559456711558,,,,False,0.0,False,0.6325079815738717,0.0012247740779947225,False,0.007420859577954351,53.30739299610895,6.680338314830724,-0.35777885811916565
2022-02-15,538.8954375657087,511.4136286749131,True,18.945451029864113,9.15876751225022,,,,False,0.0,False,0.6478605717289047,0.0013906305581552478,False,0.008852861469539366,75.5813953488372,9.842598709278738,-0.6838311970285176
2022-02-16,545.4394491114303,512.1532788203182,True,18.33163155358139,6.900057870927607,,,,False,0.0,False,0.6597231183749817,0.0018438270713291456,False,0.009536532748176663,81.85328185328186,8.983943475223558,-2.0838856042959515
2022-02-17,539.8962991368757,512.6843581745987,True,18.770621129552783,9.49728923178873,,,,False,0.0,False,0.6590833301814095,0.0023898950921799507,False,0.007718480496776894,57.30769230769231,10.40688823652432,-0.9095990047355897
2022-02-18,538.9139977267398,513.2035674996565,True,19.150616529457338,7.231807600658532,,,,False,0.0,False,0.655333632453671,0.002903597894392223,False,0.006305458469799334,34.48275862068966,9.231165046308544,-1.9993574456500118
2022-02-21,545.8599849139032,513.9239970809781,True,19.554077553983493,19.292461044790162,,,,False,0.0,False,0.6523737810933911,0.0033221238081680166,False,0.007731978261316524,57.63358778625955,24.242063426282925,-4.949602381492763
